Unnamed: 0,Unnamed: 1,ID,Name,Price,Brand,Rating,Total Ratings,Cleaned_Price,Clean_Rating,Brand Name,RAM,URL
0,,1,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,"Rs. 106,999
",Apple,"4.3
Excellent",150,106999,4.3,Apple,6,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?spm=a2a0e.searchlist.sku.1.1026380c9ID8m1&search=1
1,,2,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",No Brand,"4.0
Excellent",82,32999,4,Realme,4,https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274809.html?spm=a2a0e.searchlist.sku.1.74af1d32J9l1s9&search=1
2,,3,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",No Brand,"4.3
Good",122,64499,3.3,Infinix,8,https://www.daraz.pk/products/30-8-gb-256-gb-32-mp-2-mp-2-mp-2-mp-108-mah-i428831257-s2046190580.html?spm=a2a0e.searchlist.sku.1.23421474N6fh4a&search=1
3,,4,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 64,999",Xiaomi,"3.8
Good",56,64999,3.8,Redmi,8,https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?spm=a2a0e.searchlist.sku.1.3f9d4524JRg0v8&search=1
4,,5,vivo Y17s - 6GB RAM - 128GB ROM - 5000mAh Battery - 50+2 MP Camera - Helio G85 Processor,"Rs. 44,999",Vivo,"3.4
Good",25,44999,3.4,vivo,6,https://www.daraz.pk/products/vivo-y17s-6gb-ram-128gb-rom-5000mah-battery-502-mp-camera-helio-g85-processor-i434216463-s2082615909.html?spm=a2a0e.searchlist.sku.1.24047c49JFPTtk&search=1
5,,6,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 24,999",Xiaomi,"4.3
Excellent",18,24999,4.3,Redmi,3,https://www.daraz.pk/products/a2-i433426890-s2080727193.html?spm=a2a0e.searchlist.sku.1.6d8d7722c6Pro4&search=1
6,,7,Samsung Galaxy A04s 4GB+128GB,"Rs. 48,999",Samsung,"4.7
Excellent",12,48999,4.7,Samsung,4,https://www.daraz.pk/products/samsung-galaxy-a04-4gb64gb-i421205430-s1988618927.html?spm=a2a0e.searchlist.sku.8.5e4f246cJATDWV&search=1
7,,8,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",No Brand,"4.3
Good",90,43499,4.3,Infinix,8,https://www.daraz.pk/products/infinix-note-30-8gb128gb-android-13-678-display-5000-mah-battery-i436820987-s2101357944.html?spm=a2a0e.searchlist.sku.1.47816383q6C75V&search=1
8,,9,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499
",Redmi,"3.1
Good",1,50499,3.1,Redmi,8,https://www.daraz.pk/products/12-8gb-128gb-5000mah-33-i421379488-s1989920618.html?spm=a2a0e.searchlist.sku.12.473e6dc2UXEqMj&search=1
9,,10,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 39,999",Tecno,"5.0
Excellent",41,39999,5,Tecno,8,https://www.daraz.pk/products/tecno-spark-10-pro-8gb-ram-256gb-rom-pta-approved-official-brand-warranty-i436994487-s2101829511.html?spm=a2a0e.searchlist.sku.2.1b636159giLwnh&search=1
10,,11,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,"Rs. 70,999
Rs. 79,000-10%",Apple,"3.0
Good",4,70999,3,Apple,8,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-white-64-gb-pta-approved-i434305230-s2082863896.html?spm=a2a0e.searchlist.sku.1.9c82236dXsI1Sh&search=1
11,,12,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 28,999
Rs. 49,999-42%",No Brand,"3.1
Good",5,28999,3.1,Redmi,4,https://www.daraz.pk/products/4gb-12c-64gb-pta-1-i424395630-s2010721404.html?spm=a2a0e.searchlist.sku.2.1a28425eZVeCOO&search=1
12,,13,Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,"Rs. 106,999
Rs. 119,000-10%",Apple,"3.3
Good",7,106999,3.3,Apple,4,https://daraz.pk/products/like-new-phones-used-apple-iphone-x-space-gray-256-gb-pta-approved-i435083296-s2088536132.html?spm=a2a0e.searchlist.sku.1.4fd31040fhhK62&search=1
13,,14,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999
Rs. 48,699-24%",No Brand,"4.0
Excellent",8,36999,4,Infinix,8,https://www.daraz.pk/products/30-8gb-256gb-64mp-5000mah-i430239285-s2059656609.html?spm=a2a0e.searchlist.sku.4.22166dedawmuG4&search=1
14,,15,Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty,"Rs. 21,499",Honor,"4.5
Excellent",7,21499,4.5,Honor,2,https://www.daraz.pk/products/honor-x5-dual-sim-2gb-ram-32gb-4g-1year-official-warranty-i421054632-s1988619536.html?spm=a2a0e.searchlist.sku.2.65185cd7eg4SQS&search=1
15,,16,Samsung Galaxy A14 6GB+128GB,"Rs. 64,999",Samsung,"4.6
Excellent",2,64999,4.6,Samsung,6,https://www.daraz.pk/products/samsung-galaxy-a14-6gb-rom-128-gb-pta-approved-1-year-official-warranty-i428408681-s2037400447.html?spm=a2a0e.searchlist.sku.6.644e5419Wmoojx&search=1
16,,17,Samsung Galaxy A24 8GB+128GB,"Rs. 79,999",Samsung,"4.7
Excellent",9,79999,4.7,Samsung,8,https://www.daraz.pk/products/5g-a54-8gb-8gb-256gb-5000mah-i433354188-s2077723659.html?spm=a2a0e.searchlist.sku.8.38b47796LDr3ZW&search=1
17,,18,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,499
Rs. 62,000-23%",No Brand,"4.3
Excellent",45,47499,4.3,Infinix,8,https://www.daraz.pk/products/30-8-gb-256-gb-32-mp-2-mp-2-mp-2-mp-108-mah-i428831257-s2046190580.html?spm=a2a0e.searchlist.sku.3.5ec81de1LBeJQ0&search=1
18,,19,itel A60s 4GB RAM* +128GB ROM 6.6″ HD+ Display 5000mAh Battery PTA approved Official Brand Warranty,"Rs. 22,399
Rs. 22,999-3%",itel,"4.0
Excellent",3,22399,4,itel,4,https://www.daraz.pk/products/itel-a60s-4gb-ram-128gb-rom-66-hd-display-5000mah-battery-pta-approved-official-brand-warranty-i432849791-s2069109931.html?spm=a2a0e.searchlist.sku.2.74083e7eZy2hXy&search=1
19,,20,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 33,999",Xiaomi,"4.8
Excellent",5,33999,4.8,Redmi,4,https://www.daraz.pk/products/4gb-12c-64gb-pta-1-i424396762-s2010724527.html?spm=a2a0e.searchlist.sku.4.118431cdajOOpC&search=1
20,,21,Like New Phones - Used Apple iPhone X - Space Gray 64 GB - PTA Approved,"Rs. 97,999
Rs. 109,000-10%",Apple,"4.2
Excellent",3,97999,4.2,Apple,4,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-64-gb-pta-approved-i434291909-s2088176034.html?spm=a2a0e.searchlist.sku.4.14d05479EnKMfl&search=1
21,,22,Samsung Galaxy A14 4GB+128GB,"Rs. 62,999",Samsung,"4.4
Excellent",35,62999,4.4,Samsung,4,https://www.daraz.pk/products/samsung-galaxy-a14-6gb-rom-128-gb-pta-approved-1-year-official-warranty-i428408681-s2037400447.html?spm=a2a0e.searchlist.sku.8.4b512833WDFx1W&search=1
22,,23,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 29,999
Rs. 39,999-25%",No Brand,"4.8
Excellent",8,29999,4.8,Redmi,4,https://www.daraz.pk/products/redmi-12c-4gb-ram-128gb-rom-pta-approved-official-warranty-i426943575-s2026292438.html?spm=a2a0e.searchlist.sku.6.6362425efvd2i2&search=1
23,,24,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999
Rs. 35,499-15%",No Brand,"4.2
Excellent",2,29999,4.2,Samsung,4,https://www.daraz.pk/products/samsung-galaxy-a04-4gb-64gb-official-pta-approved-official-warranty-i438355041-s2122292352.html?spm=a2a0e.searchlist.sku.2.38f639b0FcrL2Y&search=1
24,,25,"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,990",No Brand,"4.5
Excellent",1,25990,4.5,Redmi,4,https://www.daraz.pk/products/4gb-12c-64gb-pta-1-i424395630-s2010721404.html?spm=a2a0e.searchlist.sku.2.2a244ad36Z8JHl&search=1
25,,26,Samsung Galaxy A54 8GB+256GB,"Rs. 128,999
Rs. 140,999-9%",Samsung,"4.9
Excellent",9,128999,4.9,Samsung,8,https://www.daraz.pk/products/5g-a54-8gb-8gb-256gb-5000mah-i433354188-s2077723659.html?spm=a2a0e.searchlist.sku.1.cba81640Pk1SJj&search=1
26,,27,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,999
Rs. 59,999-20%",No Brand,"3.1
Good",31,47999,3.1,Infinix,8,https://www.daraz.pk/products/infinix-note-30-ram-8gb8gb-256gb-storage-678-fhd-5000mah-mega-battery-pta-approved-official-warranty-i429046135-s2098320869.html?spm=a2a0e.searchlist.sku.2.53f94bdaxJYdl9&search=1
27,,28,Xiaomi 13T (12GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 169,999",Xiaomi,"3.6
Good",3,169999,3.6,Xiaomi,12,https://www.daraz.pk/products/13t-12gb-256gb-1-pta-i433497804-s2080954311.html?spm=a2a0e.searchlist.sku.2.6a70f040T93oLT&search=1
28,,29,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 47,000
Rs. 49,999-6%",No Brand,"3.6
Good",17,47000,3.6,TECNO,8,https://www.daraz.pk/products/tecno-camon-20-8gb256gb-64-mp-camera-5000-mah-battery-667-i428102257-s2035159540.html?spm=a2a0e.searchlist.sku.1.7bc0562eZKwuXy&search=1
29,,30,vivo V29e 5G - 8+8GB Extended RAM - 256GB ROM - 50MP AF Group Selfie - 120Hz Amoled Display,"Rs. 109,999",Vivo,"3.6
Good",3,109999,3.6,vivo,8,https://www.daraz.pk/products/vivo-v29-5g-12gb-ram-256gb-rom-50mp-ois-camera-in-display-fingerprint-80w-flashcharge-i434170266-s2082489915.html?spm=a2a0e.searchlist.sku.2.1577517687nA71&search=1
30,,31,"Tecno Camon 20 - 8GB/256GB - 64 MP Camera - 5000 mAH- Battery - 6.67""","Rs. 53,999",Tecno,"4.3
Excellent",22,53999,4.3,Tecno,8,https://www.daraz.pk/products/tecno-camon-20-8gb256gb-64-mp-camera-5000-mah-battery-667-i428102257-s2035159540.html?spm=a2a0e.searchlist.sku.1.74ee562enYyfwD&search=1
31,,32,Sparx neo 7 ultra 8GB RAM 128GB ROM || 50 MP dual camera || 5000mAh battery || PTA approved || 1 year brand warranty,"Rs. 31,499
Rs. 40,000-21%",No Brand,"3.2
Good",6,31499,3.2,Sparx,8,https://www.daraz.pk/products/sparx-neo-7-ultra-6128gb-67-display-5000mah-battery-octa-core-processor-fast-charging-pta-approved-one-year-brand-warranty-i423781498-s2073410404.html?spm=a2a0e.searchlist.sku.1.60787ea8T8AXyD&search=1
32,,33,Redmi Note 12 Pro (8GB-256GB) PTA Approved With Official 1 Year Warranty,"Rs. 89,999",Xiaomi,"4.3
Excellent",9,89999,4.3,Redmi,8,https://www.daraz.pk/products/12-8-gb-256-gb-16-mp-5mp-08-mp-02-mp-li-po-108-mah-i429687998-s2046482069.html?spm=a2a0e.searchlist.sku.2.13614cd2OhlgdW&search=1
33,,34,itel A60s 6.6″ HD+ Display | 8+128GB Storage | HD+ display | 8MP Dual Rear Camera,"Rs. 22,749
Rs. 22,999-1%",itel,"3.4
Good",10,22749,3.4,itel,8,https://www.daraz.pk/products/itel-a60s-4gb-ram-128gb-rom-66-hd-display-5000mah-battery-pta-approved-official-brand-warranty-i432849791-s2069109931.html?spm=a2a0e.searchlist.sku.2.f7fa3e7e75VYrA&search=1
34,,35,"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 27,999",No Brand,"3.3
Good",9,27999,3.3,Itel,8,https://www.daraz.pk/products/s23-66-hd-16-256gb-50-mp-ai-i434062784-s2082218778.html?spm=a2a0e.searchlist.sku.2.3fef7882602Tpt&search=1
